longitude_e,latitude_n,raw_elevation_m,reference_plane_m,corrected_residual_m
76.3867188,18.9335938,-980.000,-1022.335,42.335
76.3945312,18.9335938,-991.000,-1026.808,35.808
76.4023438,18.9335938,-1010.000,-1031.282,21.282
76.4101562,18.9335938,-1032.000,-1035.756,3.756
76.4179688,18.9335938,-1053.000,-1040.230,-12.770
76.4257812,18.9335938,-1066.000,-1044.703,-21.297
76.4335938,18.9335938,-1069.000,-1049.177,-19.823
76.4414062,18.9335938,-1112.000,-1053.651,-58.349
76.4492188,18.9335938,-1128.000,-1058.125,-69.875
75.3554688,18.9257812,-209.000,-433.819,224.819
75.3632812,18.9257812,-203.000,-438.293,235.293
75.3710938,18.9257812,-200.000,-442.767,242.767
75.3789062,18.9257812,-202.000,-447.240,245.240
75.3867188,18.9257812,-202.000,-451.714,249.714
75.3945312,18.9257812,-204.000,-456.188,252.188
75.4023438,18.9257812,-207.000,-460.662,253.662
75.4101562,18.9257812,-209.000,-465.135,256.135
75.4179688,18.9257812,-203.000,-469.609,266.609
75.4257812,18.9257812,-196.000,-474.083,278.083
75.4335938,18.9257812,-196.000,-478.557,282.557
75.4414062,18.9257812,-204.000,-483.030,279.030
75.4492188,18.9257812,-191.000,-487.504,296.504
75.4570312,18.9257812,-180.000,-491.978,311.978
75.4648438,18.9257812,-171.000,-496.452,325.452
75.4726562,18.9257812,-164.000,-500.926,336.926
75.4804688,18.9257812,-159.000,-505.399,346.399
75.4882812,18.9257812,-157.000,-509.873,352.873
75.4960938,18.9257812,-160.000,-514.347,354.347
75.5039062,18.9257812,-165.000,-518.821,353.821
75.5117188,18.9257812,-173.000,-523.294,350.294
75.5195312,18.9257812,-183.000,-527.768,344.768
75.5273438,18.9257812,-192.000,-532.242,340.242
75.5351562,18.9257812,-201.000,-536.716,335.716
75.5429688,18.9257812,-210.000,-541.189,331.189
75.5507812,18.9257812,-218.000,-545.663,327.663
75.5585938,18.9257812,-227.000,-550.137,323.137
75.5664062,18.9257812,-239.000,-554.611,315.611
75.5742188,18.9257812,-258.000,-559.084,301.084
75.5820312,18.9257812,-258.000,-563.558,305.558
75.5898438,18.9257812,-262.000,-568.032,306.032
75.5976562,18.9257812,-267.000,-572.506,305.506
75.6054688,18.9257812,-271.000,-576.979,305.979
75.6132812,18.9257812,-275.000,-581.453,306.453
75.6210938,18.9257812,-277.000,-585.927,308.927
75.6289062,18.9257812,-278.000,-590.401,312.401
75.6367188,18.9257812,-277.000,-594.874,317.874
75.6445312,18.9257812,-277.000,-599.348,322.348
75.6523438,18.9257812,-272.000,-603.822,331.822
75.6601562,18.9257812,-259.000,-608.296,349.296
75.6679688,18.9257812,-242.000,-612.770,370.770
75.6757812,18.9257812,-241.000,-617.243,376.243
75.6835938,18.9257812,-259.000,-621.717,362.717
75.6914062,18.9257812,-285.000,-626.191,341.191
75.6992188,18.9257812,-313.000,-630.665,317.665
75.7070312,18.9257812,-338.000,-635.138,297.138
75.7148438,18.9257812,-345.000,-639.612,294.612
75.7226562,18.9257812,-341.000,-644.086,303.086
75.7304688,18.9257812,-346.000,-648.560,302.560
75.7382812,18.9257812,-357.000,-653.033,296.033
75.7460938,18.9257812,-372.000,-657.507,285.507
75.7539062,18.9257812,-388.000,-661.981,273.981
75.7617188,18.9257812,-407.000,-666.455,259.455
75.7695312,18.9257812,-426.000,-670.928,244.928
75.7773438,18.9257812,-447.000,-675.402,228.402
75.7851562,18.9257812,-469.000,-679.876,210.876
75.7929688,18.9257812,-487.000,-684.350,197.350
75.8007812,18.9257812,-494.000,-688.823,194.823
75.8085938,18.9257812,-493.000,-693.297,200.297
75.8164062,18.9257812,-496.000,-697.771,201.771
75.8242188,18.9257812,-502.000,-702.245,200.245
75.8320312,18.9257812,-510.000,-706.718,196.718
75.8398438,18.9257812,-519.000,-711.192,192.192
75.8476562,18.9257812,-533.000,-715.666,182.666
