distance_from_rim_km,longitude_e_deg,latitude_n_deg,mola_raw_m,corrected_min_m,corrected_median_m,corrected_max_m,ctx_raw_m
2.254698,76.065233,18.123441,-1173.069704,-51.02816578413103,13.353187769930173,15.91593254855843,nan
2.354698,76.065868,18.125017,-1173.011597,-50.94061563250784,13.342061546529749,15.972048065945955,nan
2.454698,76.066502,18.126592,-1172.921249,-50.821363196929724,13.362708276093372,16.05983807656139,nan
2.554698,76.067137,18.128168,-1172.237077,-50.1077480452941,13.977647052704697,16.742018593962484,nan
2.654698,76.067772,18.129744,-1172.215196,-50.056423893658575,13.93029482931638,16.761908111363482,nan
2.754698,76.068406,18.131319,-1172.746351,-50.558674458094174,13.329438558866286,16.228195121963836,nan
2.854698,76.069041,18.132895,-1173.375802,-51.15868230645856,12.630754335477832,15.596752639364922,nan
2.954698,76.069676,18.134471,-1174.103549,-51.85698615482261,11.833774112089486,14.867014156766345,nan
3.054698,76.07031,18.136046,-1174.92959,-52.654122719244924,10.938031841653128,14.0384151673818,nan
3.154698,76.070945,18.137622,-1176.931617,-54.62670656762157,8.866771618252642,12.034396684769035,nan
3.254698,76.07158,18.139197,-1179.937848,-57.60316217204672,5.791696813674662,9.0265586052451,nan
3.354698,76.072214,18.140773,-1183.173441,-60.81018298040772,2.4860131244277,5.788023212785674,nan
3.454698,76.072849,18.142349,-1186.638395,-64.24569382877235,-1.0481740989607715,2.3210777301865164,nan
3.554698,76.073483,18.143924,-1190.33271,-67.91110439320641,-4.812190369409336,-1.3757952592115998,nan
3.654698,76.074118,18.1455,-1197.090528,-74.63947924157083,-11.639241592797816,-8.135604741810312,nan
3.754698,76.074753,18.147076,-1204.610958,-82.13046608993523,-19.228904816186514,-15.658026224409468,nan
3.854698,76.075387,18.148651,-1212.85397,-90.34457365435833,-27.541618086623885,-23.903596213795254,nan
3.954698,76.076022,18.150227,-1222.14549,-99.60665050273519,-36.90237131002482,-33.19710769640801,nan
4.054698,76.076657,18.151802,-1232.48552,-109.91690510716012,-47.31124511460257,-43.53874477593172,nan
4.154698,76.077291,18.153378,-1239.872982,-117.2757949155216,-54.768797803849566,-50.92914916839163,nan
4.254698,76.077926,18.154954,-1245.508947,-122.88231676388591,-60.47399602723817,-56.56710565099024,nan
4.354698,76.07856,18.156529,-1251.341513,-128.6859783283203,-66.37626329768659,-62.40222964038844,nan
4.454698,76.079195,18.158105,-1257.370679,-134.6857011766847,-72.47466252107506,-68.4333871229876,nan
4.554698,76.07983,18.159681,-1263.596446,-140.88202502504896,-78.76966274446363,-74.6611456055864,nan
4.654698,76.080464,18.161256,-1268.187975,-145.4446495894722,-83.43089301490136,-79.25523259497231,nan
4.754698,76.081099,18.162832,-1272.323488,-149.55071943784878,-87.63563923830202,-83.39273707758502,nan
4.854698,76.081734,18.164407,-1276.819427,-154.01688304227378,-92.20042204287984,-87.89028315710857,nan
4.954698,76.082368,18.165983,-1279.173419,-156.34230285063518,-94.62450473212675,-90.24721754956818,nan
5.054698,76.083003,18.167559,-1279.777743,-156.91718369899968,-95.29806195551532,-90.85353303216743,nan
5.154698,76.083637,18.169134,-1273.132665,-150.24320126343378,-88.72268522596391,-84.21101302156558,nan
5.254698,76.084272,18.17071,-1264.825171,-141.90626411179824,-80.48442444935199,-75.90551050416434,nan
5.354698,76.084907,18.172286,-1257.664484,-134.71613396016232,-73.3929706727406,-68.74681498676341,nan
5.454698,76.085541,18.173861,-1251.650603,-128.67334852458453,-67.44879094317707,-62.73549197614807,nan
5.554698,76.08628,18.175385,-1246.6898,-123.57524584822067,-62.447794938938614,-57.657796873098505,nan
5.654698,76.087289,18.176773,-1239.31566,-115.78346179639675,-54.74898519415069,-49.85774028883111,nan
5.754698,76.088299,18.178161,-1231.43615,-107.48543678456213,-46.54394798349085,-41.55136279468843,nan
