distance_from_outlet_along_rim_km,longitude_e_deg,latitude_n_deg,mola_raw_m,corrected_min_m,corrected_median_m,corrected_max_m
29.537621255294525,75.86647654167741,18.486012239124825,-411.01868788503356,417.4518289243625,449.5939729573874,463.78526574687163
29.787621255294525,75.86258380138733,18.48804323405879,-424.1315361823768,400.27377379052535,431.9987588260803,446.5436179158792
30.037621255294525,75.85869106109723,18.49007422899275,-446.08996455682285,374.25013857958555,405.5579646176705,420.456390007784
30.287621255294525,75.85477810435061,18.49205788582158,-468.3160427810904,347.95697359238767,378.84849344470337,394.10261167716084
30.537621255294525,75.85049515318312,18.493175177430494,-490.8671378043431,321.3043860589528,351.79520758294393,367.4439378761573
30.787621255294525,75.84621220201561,18.494292469039408,-509.6356290565138,298.43440229659967,328.5245254922666,344.56786784623586
31.037621255294525,75.8419292508481,18.49540976064832,-521.1654916929889,282.80304714994236,312.4924720172846,328.93042643201
31.287621255294525,75.8376462996806,18.496527052257235,-527.8434672422751,272.02357909047385,301.3123056294918,318.14487210497293
31.537621255294525,75.83336334851309,18.49764434386615,-530.4590403125557,265.3065135100111,294.19454172070436,311.42172025694174
31.787621255294525,75.82900591915894,18.498427725834436,-525.8849024672741,265.8252307780025,294.3240225777422,311.9544475170387
32.037621255294525,75.82461371119379,18.49905518411517,-518.0008976718906,269.6753289172142,297.7902366055612,315.82793987250864
32.287621255294525,75.82022150322865,18.499682642395907,-499.32939418821906,284.31292574471394,312.0439493216681,330.4889309162665
32.537621255294525,75.8158292952635,18.500310100676643,-477.76298713884165,301.84542613791956,329.1925656034809,348.04482552573023
32.787621255294525,75.81143708729834,18.50093755895738,-446.87176376763483,328.7027428529547,355.6659982071231,374.9255364570235
33.037621255294525,75.80704487933319,18.501565017238114,-414.8322919128666,356.7083080515513,383.2876792943267,402.9544958718782
33.287621255294525,75.80267186976653,18.502288723963797,-380.28785922611274,387.20357715678193,413.39557896180855,433.4673971350721
33.537621255294525,75.79834224739237,18.50322994621905,-377.88719352235563,385.5205995718466,411.31735531723774,431.78902981291964
33.787621255294525,75.79401262501821,18.504171168474304,-409.28316695185623,350.0409828536536,375.4424925394091,396.3140233575096
34.037621255294525,75.78968300264405,18.505112390729554,-447.79821686845816,307.44228964835935,332.44855327447925,353.719940414998
34.287621255294525,75.7853533802699,18.506053612984807,-484.4618200547809,266.6950431733442,291.30606073982847,312.9773042027657
34.537621255294525,75.78102375789575,18.506994835240057,-511.06584062859235,236.00737931084018,260.2231508176891,282.2942506030448
34.787621255294525,75.77658273755459,18.507,-535.1692847536176,208.03426815321916,231.894711298066,254.38077189456703
35.037621255294525,75.77214110256769,18.507,-552.5683313228365,186.76673517973325,210.27207021114907,233.173174958824
35.287621255294525,75.76769946758078,18.507,-567.1492968398582,168.3172832584445,191.4675101764294,214.78365907527814
35.537621255294525,75.76325783259388,18.507,-577.7149832162696,153.88311047776608,176.67822928231988,200.4094223323425
35.787621255294525,75.75881619760698,18.507,-586.0364665428453,141.6931407469233,164.13315143804618,188.2793886392426
36.037621255294525,75.75437456262009,18.507,-593.1680171217055,130.6931037637961,152.77800634148798,177.3392876938583
36.287621255294525,75.7516406862069,18.50385424827585,-586.915311443479,135.60986938743883,157.64027860868907,182.4728025742694
36.537621255294525,75.74906408816697,18.500418784222624,-564.5480897790403,156.8743893345155,178.87799072858354,203.96851370707043
36.787621255294525,75.74648749012705,18.4969833201694,-527.3876278866375,192.93214950955644,214.90894307644214,240.25746506783582
37.037621255294525,75.74326979825813,18.49430791930325,-495.4856378522553,222.92054435869397,244.77963049497396,270.4422455967749
37.287621255294525,75.73917650836084,18.49267060334434,-464.34219560035564,251.0428831487945,272.6601122995468,298.7134331368513
37.537621255294525,75.73508321846357,18.491033287385427,-471.6623326099213,240.7016426774299,262.07701484265425,288.5210414154621
37.787621255294525,75.73068588382806,18.491539264521492,-481.0138539814362,227.35211089894426,248.34952542769133,275.20191870203905
38.037621255294525,75.72628223954536,18.49208972005683,-486.41774340758957,217.92993793693086,238.54657041890005,265.8076969015899
38.287621255294525,75.72187859526265,18.492640175592168,-485.92331318113946,214.40608462752112,234.6419350627122,262.3117947537442
38.537621255294525,75.71746179422101,18.493,-467.18284675017605,229.1801445485777,249.0441042107583,277.1248826856612
38.787621255294525,75.71302015923412,18.493,-441.70124792097363,250.79325697351317,270.30210852226264,298.79793114833944
39.037621255294525,75.70857852424722,18.493,-402.97813640328314,285.6478820869366,304.80162552225516,333.71249229950587
39.287621255294525,75.70413688926031,18.493,-367.0877280721887,317.66980401376395,336.4684393356515,365.7943502640761
39.537621255294525,75.69969525427341,18.493,-332.71170804283014,348.1773376388556,366.62086484731213,396.3618199269105
39.787621255294525,75.69531742355456,18.4924411299072,-359.4035975297712,317.8582139138947,335.98088433250564,366.133724581655
40.037621255294525,75.69097897719985,18.491537286916635,-389.4464146324325,284.3370799333569,302.1600358248804,332.722811303767
40.287621255294525,75.68664053084514,18.49063344392607,-407.5077188851305,262.7974588027824,280.3207001672185,311.2934108758424
40.537621255294525,75.68230208449043,18.489729600935505,-418.45574870550075,248.3711121045356,265.5946389418843,296.9772848802457
40.787621255294525,75.67796363813571,18.488825757944937,-419.5307841929683,243.81775973919162,260.7415720494529,292.53415321755153
41.037621255294525,75.67365388753763,18.487842676153463,-416.93688702388636,242.984659497895,259.61518453028225,291.8154169226291
